number of lenses, lens scale, number of blocks, number of threads, WL ,x pixels, y pixels, Total host time,Total device time, total program time
100,0.005,15633,1024,10,4001,4001,125.264,221.751,376.099
200,0.005,15633,1024,10,4001,4001,118.714,441.408,588.917
300,0.005,15633,1024,10,4001,4001,120.116,661.865,813.372
400,0.005,15633,1024,10,4001,4001,122.028,879.937,1042.58
500,0.005,15633,1024,10,4001,4001,128.148,1075.96,1231.47
600,0.005,15633,1024,10,4001,4001,129.011,1291.78,1448.07
700,0.005,15633,1024,10,4001,4001,124.346,1507.01,1659.13
800,0.005,15633,1024,10,4001,4001,128.749,1720.19,1883.39
900,0.005,15633,1024,10,4001,4001,127.506,1935.16,2096.68
1000,0.005,15633,1024,10,4001,4001,127.973,2148.37,2302.93
1100,0.005,15633,1024,10,4001,4001,123.964,2364.34,2515.47
1200,0.005,15633,1024,10,4001,4001,124.983,2578.54,2732.45
1300,0.005,15633,1024,10,4001,4001,124.529,2792.21,2942.51
1400,0.005,15633,1024,10,4001,4001,129.761,3004.77,3171.86
1500,0.005,15633,1024,10,4001,4001,130.218,3220.38,3380.77
1600,0.005,15633,1024,10,4001,4001,125.104,3442.24,3597.16
1700,0.005,15633,1024,10,4001,4001,122.487,3647.24,3798.09
1800,0.005,15633,1024,10,4001,4001,123.399,3858.74,4009.5
1900,0.005,15633,1024,10,4001,4001,122.504,4071.9,4228.69
2000,0.005,15633,1024,10,4001,4001,123.343,4288.31,4449.75
